,Make,Model,Price (£),Mileage,Registration Year,Registration Month,Gearbox,Fuel Type,N of Owners
229,Ford,Fiesta,9600,27332,2016,12,Manual,Petrol,2
230,Hyundai,i30,9600,47627,2017,4,Manual,Diesel,4
231,Fiat,500,9600,23089,2018,4,Manual,Petrol,3
232,Fiat,500X,9600,42535,2016,5,Manual,Petrol,3
233,Vauxhall,Corsa,9600,21295,2016,3,Manual,Petrol,2
234,Nissan,Juke,9600,52972,2018,3,Manual,Petrol,2
235,Ford,Fiesta,9600,26324,2017,4,Manual,Diesel,4
236,Renault,Scenic,9600,26335,2016,7,Manual,Diesel,3
237,Nissan,Juke,9600,35763,2017,11,Manual,Diesel,2
238,Vauxhall,Corsa,9600,21843,2019,6,Manual,Petrol,2
239,Fiat,500,9600,30891,2019,5,Manual,Petrol,2
240,Vauxhall,ADAM,9600,13554,2017,12,Manual,Petrol,1
241,Fiat,500,9600,24572,2018,7,Manual,Petrol,2
242,Mini,Hatch,9600,37031,2016,3,Manual,Petrol,2
243,Ford,Fiesta,9600,51905,2014,10,Manual,Petrol,3
244,Smart,fortwo,9600,16954,2019,7,Manual,Petrol,1
245,Volkswagen,Polo,9650,60690,2016,11,Manual,Petrol,1
246,Fiat,500,9650,29731,2017,3,Manual,Petrol,2
247,Vauxhall,Corsa,9650,34154,2019,6,Manual,Petrol,1
248,Vauxhall,Corsa,9650,30541,2019,3,Manual,Petrol,1
249,Ford,Fiesta,9650,52400,2017,1,Manual,Petrol,3
250,Peugeot,2008,9650,37558,2016,5,Manual,Diesel,3
251,Renault,Megane,9650,43589,2016,4,Manual,Petrol,1
252,Nissan,Micra,9650,39297,2017,11,Manual,Petrol,2
253,Ford,Focus,9650,57930,2017,7,Manual,Petrol,2
254,Nissan,Juke,9650,19087,2018,1,Manual,Petrol,1
255,Vauxhall,Meriva,9650,12867,2016,3,Automatic,Petrol,3
256,Fiat,500,9650,26918,2019,3,Manual,Petrol,1
257,Fiat,500,9650,18276,2019,6,Manual,Petrol,1
258,Mazda,Mazda2,9650,37621,2016,5,Manual,Petrol,2
259,Vauxhall,Corsa,9700,24846,2018,3,Manual,Petrol,3
260,Vauxhall,Corsa,9900,27049,2019,2,Manual,Petrol,2
261,Vauxhall,Meriva,9700,19606,2017,5,Manual,Petrol,2
262,Skoda,Fabia,9700,32677,2018,3,Manual,Petrol,1
263,Vauxhall,Corsa,9700,33374,2019,3,Manual,Petrol,3
264,Vauxhall,Insignia,9700,45176,2017,4,Manual,Diesel,3
265,Honda,Jazz,9700,8238,2015,3,Manual,Petrol,4
266,Renault,Clio,9700,43995,2016,9,Manual,Petrol,3
267,Fiat,500,9750,24132,2017,9,Manual,Petrol,2
268,Fiat,500,9750,35041,2019,9,Manual,Petrol,1
269,Dacia,Logan MCV,9750,28639,2018,11,Manual,Petrol,1
270,Renault,Captur,9750,34064,2016,9,Manual,Petrol,1
271,Jeep,Renegade,9750,56241,2015,9,Manual,Petrol,3
272,Volkswagen,Beetle,9750,63276,2015,10,Manual,Diesel,3
273,Ford,EcoSport,9750,45371,2017,10,Manual,Diesel,2
274,Vauxhall,Crossland X,9750,53844,2018,12,Manual,Petrol,1
275,Vauxhall,Astra,9750,44907,2018,12,Manual,Petrol,1
276,Vauxhall,Corsa,9750,24261,2018,6,Manual,Petrol,2
277,Peugeot,208,9750,51359,2018,5,Manual,Diesel,2
278,Vauxhall,Crossland X,9750,46090,2018,6,Manual,Diesel,4
279,Mini,Hatch,9750,25291,2016,2,Manual,Diesel,4
280,Ford,Fiesta,9800,26415,2017,6,Manual,Petrol,2
281,Peugeot,3008,9800,56099,2016,8,Manual,Diesel,2
282,Ssangyong,Korando,9800,49508,2016,9,Manual,Diesel,2
283,Dacia,Duster,9800,48105,2017,3,Manual,Petrol,2
284,Vauxhall,Corsa,9800,24739,2018,3,Manual,Petrol,3
285,Fiat,500X,9800,39876,2018,3,Manual,Petrol,3
286,Ford,Fiesta,9800,23766,2015,12,Manual,Petrol,1
287,Peugeot,208,9800,44002,2019,2,Manual,Diesel,1
288,Vauxhall,Corsa,9800,18712,2018,3,Manual,Petrol,3
289,Fiat,500,9800,21128,2019,9,Manual,Petrol,1
290,Hyundai,i10,9800,13125,2019,2,Manual,Petrol,1
291,Vauxhall,Corsa,9800,23531,2018,7,Manual,Petrol,3
292,Fiat,500,9800,14428,2019,9,Manual,Petrol,1
293,Fiat,500,9800,10658,2019,6,Manual,Petrol,1
294,Vauxhall,Astra,9800,35114,2019,5,Manual,Petrol,2
295,Hyundai,i20,9800,5855,2016,10,Manual,Petrol,2
296,Skoda,Fabia,9800,30172,2018,11,Manual,Petrol,2
